corp_code,bsns_year,drctr_co,otcmp_drctr_co,stlm_dt,rcept_no,corp_name,outside_ratio
00632304,2025,7.0,3.0,2025-12-31,20260318001363,JW홀딩스,0.42857142857142855
00414850,2025,5.0,2.0,2025-12-31,20260318001001,효성 ITX,0.4
00825223,2025,4.0,3.0,2025-12-31,20260316000444,화신정공,0.75
00148984,2025,5.0,3.0,2025-12-31,20260319000043,시알홀딩스,0.6
00652423,2025,5.0,3.0,2025-12-31,20260331002681,인바이오젠,0.6
00127167,2025,5.0,3.0,2025-12-31,20260318000524,삼영무역,0.6
00857480,2025,3.0,1.0,2025-12-31,20260313001349,사람인,0.3333333333333333
00101664,2025,4.0,1.0,2025-12-31,20260318001475,경보제약,0.25
00983040,2025,11.0,8.0,2025-12-31,20260318001143,한진칼,0.7272727272727273
00209780,2025,8.0,2.0,2025-12-31,20260316001307,케이씨,0.25
01181515,2025,5.0,3.0,2025-12-31,20260324000006,엘앤씨바이오,0.6
00265324,2025,7.0,4.0,2025-12-31,20260318001469,CJ ENM,0.5714285714285714
00136226,2025,7.0,2.0,2025-12-31,20260317000805,신성델타테크,0.2857142857142857
00111689,2025,4.0,2.0,2025-12-31,20260323001496,아진전자부품,0.5
00797364,2025,3.0,1.0,2025-12-31,20260407003641,KC코트렐,0.3333333333333333
00129235,2025,3.0,1.0,2025-12-31,20260319000454,삼화왕관,0.3333333333333333
01204056,2025,9.0,5.0,2025-12-31,20260320000802,하이브,0.5555555555555556
00113562,2025,5.0,3.0,2025-12-31,20260331004266,롯데손해보험,0.6
00226316,2025,5.0,3.0,2025-12-31,20260330001610,호전실업,0.6
00160375,2025,,1.0,2025-12-31,20260227008561,진양폴리우레탄,
00164788,2025,9.0,5.0,2025-12-31,20260309001878,현대모비스,0.5555555555555556
01074862,2025,8.0,2.0,2025-12-31,20260318000849,메가스터디교육,0.25
00124504,2025,8.0,5.0,2025-12-31,20260318001494,포스코인터내셔널,0.625
00128032,2025,7.0,3.0,2025-12-31,20260318001625,삼일제약,0.42857142857142855
00441243,2025,4.0,1.0,2025-06-30,20250919000232,형지엘리트,0.25
00225706,2025,5.0,2.0,2025-12-31,20260318001371,JW생명과학,0.4
00557508,2025,12.0,7.0,2025-12-31,20260608000223,GKL,0.5833333333333334
00129013,2025,3.0,1.0,2025-12-31,20260323001443,CJ씨푸드,0.3333333333333333
00135795,2025,6.0,3.0,2025-12-31,20260311003722,신도리코,0.5
00161125,2025,7.0,4.0,2025-12-31,20260318000645,한온시스템,0.5714285714285714
00138792,2025,7.0,4.0,2025-12-31,20260318001045,아시아나항공,0.5714285714285714
00651901,2025,7.0,2.0,2025-12-31,20260317000736,에어부산,0.2857142857142857
00121039,2025,2.0,1.0,2025-12-31,20260330000375,명문제약,0.5
00159193,2025,14.0,8.0,2025-12-31,20260317000686,한국전력공사,0.5714285714285714
00105271,2025,7.0,4.0,2025-12-31,20260309001896,케이씨씨,0.5714285714285714
00124197,2025,4.0,1.0,2025-12-31,20260316000062,세아제강지주,0.25
01205851,2025,5.0,3.0,2025-12-31,20260316000940,HD현대일렉트릭,0.6
01236897,2025,8.0,3.0,2025-12-31,20260316000872,제일약품,0.375
01010642,2025,2.0,1.0,2025-12-31,20260316001381,지씨셀,0.5
00260408,2025,6.0,3.0,2025-12-31,20260320000233,팜스코,0.5
00362238,2025,6.0,3.0,2025-12-31,20260701000444,휴비스,0.5
00102432,2025,8.0,3.0,2025-12-31,20260325001239,계룡건설산업,0.375
00125150,2025,6.0,2.0,2025-12-31,20260312001227,SGC에너지,0.3333333333333333
01159853,2025,8.0,3.0,2025-12-31,20260323001636,휴온스,0.375
00670340,2025,6.0,3.0,2025-12-31,20260318001110,씨에스윈드,0.5
00239639,2025,10.0,3.0,2025-12-31,20260320000882,삼표시멘트,0.3
00580199,2025,5.0,2.0,2025-12-31,20260319001223,메디톡스,0.4
00877059,2025,7.0,4.0,2025-12-31,20260515001658,삼성바이오로직스,0.5714285714285714
00102618,2025,6.0,3.0,2025-12-31,20260317000814,계양전기,0.5
00141246,2025,4.0,1.0,2025-12-31,20260311004333,SGC E&C,0.25
00753643,2025,6.0,5.0,2025-12-31,20260318000727,주성코퍼레이션,0.8333333333333334
00105855,2025,9.0,5.0,2025-12-31,20260318001243,엘에스일렉트릭,0.5555555555555556
00185046,2025,9.0,3.0,2025-12-31,20260317000720,SM C&C,0.3333333333333333
00120571,2025,7.0,5.0,2025-12-31,20260311004566,롯데칠성음료,0.7142857142857143
00313649,2025,4.0,1.0,2025-12-31,20260330001311,현대바이오,0.25
00231363,2025,7.0,4.0,2025-12-31,20260313000442,LG유플러스,0.5714285714285714
00303873,2025,7.0,4.0,2025-12-31,20260318001114,CJ CGV,0.5714285714285714
00161383,2025,3.0,1.0,2025-12-31,20260312001230,한미반도체,0.3333333333333333
00104388,2025,8.0,3.0,2025-12-31,20260305001586,국도화학,0.375
00111999,2025,6.0,3.0,2025-12-31,20260318001398,대원제약,0.5
01078178,2025,4.0,1.0,2025-12-31,20260331004907,RFHIC,0.25
01095722,2025,4.0,1.0,2025-12-31,20260317000641,심텍,0.25
01770203,2025,5.0,3.0,2025-12-31,20260319000141,조선내화,0.6
