종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
017900,광전자,,,전기·전자,,,KOSPI,,C,C,D,C,
,광주과학기술원,사업장,건물,,"24,365",504,,,,,,,
,광주광역시,업체,폐기물 처리업,,"174,787","1,635",,,,,,,
,광주교통공사,사업장,교통(철도),,"19,368",403,,,,,,,
,광주글로벌모터스,사업장,자동차,,"19,065",388,,,,,,,
037710,광주신세계,,,유통,,,KOSPI,,A,A,A+,A,
192530,광주은행,,,,,,,,등급없음,등급없음,등급없음,B+,
,광진산업(주),사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",,"78,427",196,,,,,,,
,괴산군,사업장,폐기물,,"18,411",113,,,,,,,
811097,교보생명보험,,,,,,,,등급없음,등급없음,등급없음,B+,
030610,교보증권,,,증권,,,KOSPI,,B+,A,A,B,
339770,교촌에프앤비,,,유통,,,KOSPI,,D,D,D,C,
,구리농수산물공사,사업장,건물,,"17,502",364,,,,,,,
,구리시,사업장,폐기물 처리업,,"55,002",544,,,,,,,
,구미그린,사업장,폐기물 처리업,,"56,938",31,,,,,,,"""주식회사 에코이앤이"" 업체명 변경"
,구미시,업체,폐기물 처리업,,"148,251","1,167",,,,,,,
007690,국도화학,사업장,합성고무 및 플라스틱 물질 제조업,화학,"64,136","2,028",KOSPI,3.02829E+11,C,C,B,C,
,국립대학법인 서울대학교,업체,고등 교육기관,,"150,776","3,108",,,,,,,
,국립암센터,사업장,건물,,"20,522",435,,,,,,,
060000,국민은행,업체,건물,,"92,871","1,494",,,등급없음,등급없음,등급없음,A,
,국방과학연구소,사업장,건물,,"22,491",464,,,,,,,
001140,국보,,,운송·창고,,,KOSPI,,D,C,D,D,
078130,국일제지(주),사업장,"펄프, 종이 및 판지 제조업",종이·목재,"31,922",714,KOSDAQ,3.92337E+11,,,,,
,국제금속,사업장,비철금속,,"29,525",293,,,,,,,
002720,국제약품,,,제약,,,KOSPI,,D,D,D,C,
,국회사무처,사업장,건물,,"22,871",480,,,,,,,
,군산시,사업장,폐기물 처리업,,"107,270",597,,,,,,,
,군포시,사업장,폐기물 처리업,,"42,825",413,,,,,,,
,그린밸리,사업장,폐기물 처리업,,"35,571",33,,,,,,,
,그린스코,사업장,폐기물 처리업,,"59,323",102,,,,,,,
,그린에어 주식회사,업체,기초 화학물질 제조업,,"585,121","12,125",,,,,,,
083420,그린케미칼,사업장,기초 화학물질 제조업,화학,"56,908","1,291",KOSPI,1.5744E+11,C,C,D,C,
014530,극동유화,,,화학,,,KOSPI,,D,C,D,D,
