종목코드,법인명,지정구분,업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),ESG등급,환경,사회,지배구조
00None,신영포르투,사업장,나무제품 제조업,"18,426",685,,,,
00None,신우금속,사업장,철강,"16,858",292,,,,
00None,신한중공업,사업장,조선,"15,472",247,,,,
00None,쌍용씨앤비,사업장,"펄프, 종이 및 판지 제조업","66,006","1,260",,,,
00None,씨텍,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","763,404","10,981",,,,
149950,아바텍,사업장,유리,"16,462",336,,,,
00None,아진피앤피,사업장,"펄프, 종이 및 판지 제조업","138,991","3,288",,,,
00None,애니테크,사업장,폐기물 처리업,"45,268",204,,,,
00None,에너지세종,사업장,폐기물 처리업,"72,084",425,,,,
00None,에너지정세,사업장,폐기물 처리업,"60,000",481,,,,
00None,에스이그린에너지,사업장,전기업,"55,997",0,,,,
00None,에스제이금속,사업장,철강,"19,958",351,,,,
00None,에스파워,업체,전기업,"1,508,447","29,876",,,,
00None,에스피환경,사업장,폐기물 처리업,"73,956",515,,,,
00None,에이치해운,사업장,교통(해운),"17,780",243,,,,
00None,에이티에너지,사업장,폐기물 처리업,"21,500",18,,,,
00None,에코프로머티리얼즈,사업장,일차전지 및 축전지 제조업,"70,327","1,432",,,,
247540,에코프로비엠,사업장,일차전지 및 축전지 제조업,"68,312","1,424",C,B,B+,D
00None,엔아이티,업체,폐기물 처리업,"163,208",283,,,,
00None,엔이티,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","6,977",82,,,,
048830,엔피케이,사업장,석유화학,"15,313",316,,,,
00None,엘엑스글라스,업체,유리 및 유리제품 제조업,"298,344","3,670",,,,
00None,엘엑스판토스,사업장,도로 화물 운송업,"46,415",558,,,,
00None,엘지생활건강,사업장,석유화학,"47,246","1,041",,,,
00None,엘지씨엔에스,업체,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","130,641","2,780",,,,
00None,영신물산,사업장,"섬유제품 염색, 정리 및 마무리 가공업","29,421",198,,,,
007310,오뚜기,사업장,기타 식품 제조업,"93,135","1,877",A,A,A+,B+
271560,오리온,사업장,기타 식품 제조업,"74,067","1,481",A,A,A,B+
00None,오미아코리아,사업장,기초 화학물질 제조업,"45,800",935,,,,
00None,오영,사업장,석유화학,"14,127",308,,,,
00None,온셀텍,사업장,전자 부품 제조업,"34,623",722,,,,
00None,올품,사업장,식료품 제조업,"22,914",467,,,,
122990,와이솔,사업장,반도체,"20,144",319,,,,
067900,와이엔텍,업체,폐기물 처리업,"158,406",975,,,,
007530,와이엠,사업장,기계,"17,196",354,,,,
019210,와이지-원,사업장,기계,"16,506",344,,,,
00None,우룡,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","168,720",752,,,,
00None,우성염직,사업장,섬유,"12,442",196,,,,
00None,우신금속,사업장,비철금속,"23,769",372,,,,
00None,우익반도체,사업장,전기전자,"31,277",646,,,,
00None,원익아이피에스,사업장,특수 목적용 기계 제조업,"27,441",536,,,,
000910,유니온,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","142,490","1,162",C,C,C,B
024800,유성티엔에스,사업장,도로 화물 운송업,"26,598",384,,,,
00None,유진로지스틱스,사업장,도로 화물 운송업,"22,940",333,,,,
000100,유한양행,사업장,석유화학,"17,597",362,A,B+,A+,A
00None,유한화학,사업장,석유화학,"20,739",380,,,,
272290,이녹스첨단소재,사업장,전자 부품 제조업,"30,420",556,B+,B+,B,B+
139480,이마트,업체,종합 소매업,"522,497","10,881",A,A,A,A
007660,이수페타시스,사업장,전자 부품 제조업,"49,020",951,B,B+,A,C
005950,이수화학,업체,기초 화학물질 제조업,"277,942","5,001",B,B+,B+,C
00None,이스타항공,업체,항공 여객 운송업,"122,762","1,757",,,,
00None,이알지서비스,사업장,폐기물 처리업,"83,417",60,,,,
00None,이에스티,사업장,폐기물 처리업,"68,030",11,,,,
051370,인터플렉스,사업장,전자 부품 제조업,"36,807",769,C,C,B,C
00None,일강,사업장,자동차,"19,141",393,,,,
00None,일진글로벌,사업장,자동차 신품 부품 제조업,"122,351","2,549",,,,
00None,전북고속,사업장,육상 여객 운송업,"16,758",238,,,,
00None,정·식품,사업장,음료제조업,"17,976",361,,,,
00None,제때,사업장,교통(화물),"25,825",463,,,,
00None,제양항공해운,사업장,해상 운송업,718,10,,,,
00None,제이엠씨,사업장,기초 화학물질 제조업,"33,421",736,,,,
00None,젤텍,사업장,석유화학,"14,308",487,,,,
002600,조흥,사업장,식료품 제조업,"16,363",353,B,B+,C,B
185750,종근당,사업장,석유화학,"19,934",554,A,A,A,B+
063160,종근당바이오,사업장,기초 의약 물질 및 생물학적 제제 제조업,"92,309","1,937",B+,B+,A,B+
00None,중앙고속,사업장,육상 여객 운송업,"47,642",680,,,,
00None,중일,사업장,1차 비철금속 제조업,"29,361",293,,,,
00None,지에스동해전력,업체,전기업,"2,368,116","26,420",,,,
00None,지엠씨,사업장,광업,"13,954",290,,,,
00None,진합,사업장,자동차 신품 부품 제조업,"26,316",546,,,,
00None,진흥주물,사업장,철강,"30,311",531,,,,
00None,참프레,사업장,"도축, 육류 가공 및 저장 처리업","42,987",860,,,,
00None,창원그린,업체,폐기물 처리업,"57,512",21,,,,
00None,창원에너텍,사업장,폐기물 처리업,"77,277","1,032",,,,
000650,천일고속,사업장,육상 여객 운송업,"21,368",305,D,C,D,D
00None,청송산업개발,사업장,폐기물 처리업,"71,731",520,,,,
066360,체리부로,사업장,식료품 제조업,"15,210",310,,,,
00None,충남고속,사업장,육상 여객 운송업,"23,447",334,,,,
00None,충무화학,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","155,600",637,,,,
00None,카길애그리퓨리나,사업장,식료품 제조업,"21,263",434,,,,
00None,카펙발레오,사업장,자동차,"22,015",444,,,,
071850,캐스텍코리아,사업장,철강,"17,076",300,,,,
00None,케이비아이국인산업,업체,폐기물 처리업,"247,354",114,,,,
00None,케이비아이텍,업체,폐기물 처리업,"151,791",178,,,,
00None,케이에프엔티,사업장,석유화학,"21,733",458,,,,
00None,케이원전자,사업장,전기전자,"23,937",499,,,,
00None,케이이씨,사업장,반도체 제조업,"35,594",648,,,,
00None,케이조선,사업장,선박 및 보트 건조업,"63,962","1,153",,,,
00None,케이티앤지,사업장,담배 제조업,"104,110","2,109",,,,
064820,케이프,사업장,조선,"14,825",264,,,,
00None,케이피텍,사업장,석유화학,"9,117",189,,,,
00None,코넥,사업장,자동차 신품 부품 제조업,"39,621",786,,,,
046070,코다코,사업장,자동차 신품 부품 제조업,"39,518",808,,,,
007810,코리아써키트,사업장,전자 부품 제조업,"127,197","2,578",C,B,D,D
00None,코스틸,사업장,1차 철강 제조업,"10,611",212,,,,
00None,태상,사업장,기타 금속 가공제품 제조업,"57,201","1,113",,,,
009410,태영건설,사업장,건설,"19,192",377,B,B+,B+,C
00None,태영열처리,사업장,기계,"14,249",294,,,,
00None,태우,사업장,비철금속,"17,165",334,,,,
044490,태웅,업체,1차 철강 제조업,"162,294","2,950",,,,
00None,태평양금속,사업장,"내화, 비내화 요업제품 제조업","37,112",754,,,,
00None,티씨씨스틸,사업장,1차 철강 제조업,"32,724",676,,,,
064760,티씨케이,사업장,기타 비금속 광물제품 제조업,"34,496",713,B+,B,A,B+
356860,티엘비,사업장,전기전자,"22,682",456,,,,
00None,파리크라상,사업장,식료품 제조업,"20,408",422,,,,
00None,평안운수,사업장,교통(여객),"12,864",234,,,,
00None,포레스코,사업장,나무제품 제조업,"32,212",771,,,,
00None,포스코이앤씨,사업장,건설,"43,843",884,,,,
00None,포항그린,사업장,폐기물 처리업,"75,079",17,,,,
00None,풍년그린텍,사업장,제지,"22,977",469,,,,
00None,풍농,사업장,석유화학,"18,535",340,,,,
00None,풍정주공,사업장,금속 주조업,"30,214",558,,,,
00None,퓨렉스,사업장,반도체,"16,886",348,,,,
00None,피엔디티,사업장,자동차,"17,142",335,,,,
128660,피제이메탈,사업장,비철금속,"18,099",327,,,,
00None,필맥스,사업장,플라스틱 제품 제조업,"20,861",427,,,,
136480,하림,사업장,"도축, 육류 가공 및 저장 처리업","102,619","2,514",A,A,A,A
00None,한국인삼공사고려인삼창,사업장,식료품 제조업,"32,542",661,,,,
007280,한국특강,업체,1차 철강 제조업,"349,281","6,239",C,C,C,C
00None,한금,사업장,철강,"17,179",371,,,,
014680,한솔케미칼,사업장,기초 화학물질 제조업,"133,544","2,813",A,B+,A,A
025750,한솔홈데코,사업장,나무제품 제조업,"63,294","1,804",B+,B+,B,B+
00None,한양에스앤씨,사업장,자동차,"19,575",347,,,,
014130,한익스프레스,사업장,도로 화물 운송업,"23,918",400,D,C,D,D
00None,한일고속,사업장,육상 여객 운송업,"70,972",973,,,,
00None,한주,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","1,049,220","12,857",,,,
002320,한진,업체,도로 화물 운송업,"102,568","1,644",A,A,A,A
009460,한창제지,업체,"펄프, 종이 및 판지 제조업","193,116","2,442",C,C,D,C
000880,한화,업체,기타 화학제품 제조업,"64,772","1,213",B+,A,B+,B+
069960,현대백화점,업체,종합 소매업,"162,990","3,416",A+,A+,A+,A
00None,현대엘앤씨,사업장,플라스틱 제품 제조업,"38,430",785,,,,
00None,현대케피코,사업장,자동차 신품 부품 제조업,"24,930",515,,,,
00None,화성여객,사업장,교통(여객),"25,348",406,,,,
378850,화승알앤에이,사업장,석유화학,"20,734",426,B+,B+,B+,B+
00None,화승케미칼,사업장,플라스틱 제품 제조업,"25,483",522,,,,
133820,화인베스틸,사업장,철강,"18,934",346,D,C,D,D
00None,(합)경남여객,사업장,육상 여객 운송업,"41,498",701,,,,
000120,CJ대한통운,업체,도로 화물 운송업,"228,750","4,077",A,A,A+,B+
097950,CJ제일제당,업체,"곡물 가공품, 전분 및 전분제품 제조업","421,213","9,704",A,A,A,B+
006360,GS건설,업체,건설,"116,706","2,166",A,A,A+,B+
00None,GS파워,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업","2,696,279","52,465",,,,
234080,JW생명과학,사업장,의약품 제조업,"28,248",577,B+,B+,A,B
025000,KPX케미칼,사업장,석유화학,"24,270",770,D,C,D,D
